دسته بندی کامپیوتر و تجهیزات جانبی,,,,,,,,,
تلسکوپ,دوربین‌نجومی,دوربین رصدخانه,فرابین,telescope,,,,,
پلی استیشن,PlayStation,Play Station,کنسول,console,,,,,
ایکس باکس,Xbox,کنسول,console,,,,,,
کنسول,console,,,,,,,,
کامپیوتر,رایانه,رایانگر,computer,,,,,,
لپ تاپ,لپتاپ,لبتاپ,لبتاب,لبتاب,laptop,labtop,labtob,,
مانیتور,مونیتور,پایش,نمایشگر,نمارویه,صفحه نمایش,تصویرنما,صفحه تصویر,monitor,manitor
کیس,case,,,,,,,,
ماوس,موس,موشواره,موشی ,mouse,,,,,
کیبورد,صفحه کلید,کی بورد,کیبورد,keyboard,,,,,
تبلت,رایانک ,رایانه تخت, رایانه لوحی, رایانهٔ قابل حمل,tablet,,,,
کیف,کیف پول,کیف دستی ,کیف بغلی,ساک,کوله پشتی,کوله,چمدان,,
پرینتر,چاپگر,printer,,,,,,,
تلفن,گوشی,دورگو,telephone,phone,,,,,
شارژر,charger ,,,,,,,,
فکس,دورنگار,fax,,,,,,,
مودم,modem,,,,,,,,
باتری,باطری,قوه,battery,,,,,,
کتابخوان,کتاب خوان,کاغذ دیجیتال,کاغذ الکترونیکی,یادداشت‌بردار,E-reader,Writing Tablet,Kindle Paperwhite,Digital paper,
کابل صدا,آ اوکس,آ یو ایکس,ایو ایکس,AUX,Audio cable,,,,
دوربین,camera,,,,,,,,
ماشین,خودرو,khodro,car,,,,,,
بولوز,بلیز,بولیز,,,,,,,
پیراهن,پیرهن,,,,,,,,
تی شرت,تیشرت,Tshirt,,,,,,,
دستبند,النگو,,,,,,,,
کودک,بچه,نوزاد,بیبی,بی بی,baby,kid,child,,
تلویزیون,تلوزیون,تلویزیون,TV,Television,,,,,
ایرپاد,air pod,airpod,,,,,,,
پاف,بین بگ,صندلی بادی,,,,,,,
کاپشن,کافشن,capshen,kapshen,,,,,,
سویشرت,سوییشرت,سوشرت,هودی,,,,,,
قفل,قلف,,,,,,,,
فلاسک,فلاکس,,,,,,,,
مایکروفر,مکروفر,ماکروفر,ماکروویو,مایکروویو,Microwave ,,,,
توستر,toaster,,,,,,,,
